id,gene,genus,species,latitude_dms,longitude_dms,latitude,longitude
KR026343,cytochrome b,Callisaurus,draconoides,35 10 58.5,-115 50 46.4,35.18291667,-115.84622222
KR026344,cytochrome b,Callisaurus,draconoides,35 12 19.6,-115 52 15.1,35.20544444,-115.87086111
KR026345,cytochrome b,Callisaurus,draconoides,35 11 43.98,-115 51 31.44,35.19555000,-115.85873333
KR026346,cytochrome b,Callisaurus,draconoides,35 11 43.68,-115 51 28.8,35.19546667,-115.85800000
KR026347,cytochrome b,Callisaurus,draconoides,35 11 58.38,-115 52 10.08,35.19955000,-115.86946667
KR026348,cytochrome b,Callisaurus,draconoides,35 11 27.00,-115 51 25.32,35.19083333,-115.85703333
KR026349,cytochrome b,Callisaurus,draconoides,35 11 24.90,-115 51 1.32,35.19025000,-115.85036667
KR026350,cytochrome b,Callisaurus,draconoides,35 11 54.48,-115 51 58.56,35.19846667,-115.86626667
KR026351,cytochrome b,Callisaurus,draconoides,35 11 45.00,-115 51 27.18,35.19583333,-115.85755000
KR026352,cytochrome b,Callisaurus,draconoides,35 11 36.60,-115 51 43.38,35.19350000,-115.86205000
KR026353,cytochrome b,Callisaurus,draconoides,35 12 1.92,-115 52 18.54,35.20053333,-115.87181667
KR026354,cytochrome b,Callisaurus,draconoides,35 11 45.6,-115 52 5.76,35.19600000,-115.86826667
KR026355,cytochrome b,Callisaurus,draconoides,35 11 43.02,-115 51 24.9,35.19528333,-115.85691667
KR026356,cytochrome b,Callisaurus,draconoides,35 11 43.56,-115 51 22.5,35.19543333,-115.85625000
KR026357,cytochrome b,Callisaurus,draconoides,35 11 42.6,-115 51 18.42,35.19516667,-115.85511667
KR026358,cytochrome b,Callisaurus,draconoides,35 11 26.82,-115 51 9.9,35.19078333,-115.85275000
KR026359,cytochrome b,Callisaurus,draconoides,35 11 26.34,-115 51 9.36,35.19065000,-115.85260000
KR026360,cytochrome b,Callisaurus,draconoides,35 11 26.58,-115 51 17.22,35.19071667,-115.85478333
KR026361,cytochrome b,Callisaurus,draconoides,35 11 28.62,-115 51 29.88,35.19128333,-115.85830000
KR026362,cytochrome b,Callisaurus,draconoides,35 11  8.52,-115 50 39.72,35.18570000,-115.84436667
KR026363,cytochrome b,Callisaurus,draconoides,35 11 8.8,-115 50 38.6,35.18577778,-115.84405556
KR026364,cytochrome b,Callisaurus,draconoides,35 11 17.8,-115 50 29.8,35.18827778,-115.84161111
KR026365,cytochrome b,Callisaurus,draconoides,35 11 9.8,-115 50 31.7,35.18605556,-115.84213889
KR026366,cytochrome b,Callisaurus,draconoides,35 11 10.6,-115 50 3.0,35.18627778,-115.83416667
KR026367,cytochrome b,Callisaurus,draconoides,35 10 57.5,-115 51 7.2,35.18263889,-115.85200000
KR026368,cytochrome b,Callisaurus,draconoides,35 10 44.0,-115 46 27.2,35.17888889,-115.77422222
KR026369,cytochrome b,Callisaurus,draconoides,35 12 43.2,-115 45 24.3,35.21200000,-115.75675000
KR026370,cytochrome b,Callisaurus,draconoides,35 12 42.1,-115 45 31.3,35.21169444,-115.75869444
KR026371,cytochrome b,Callisaurus,draconoides,35 15 1.45,-115 52 39.8,35.25040278,-115.87772222
KR026372,cytochrome b,Callisaurus,draconoides,35 11 44.9,-115 52 28.5,35.19580556,-115.87458333
